Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
BSc (Hons) Medicinal Chemistry,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-medicinal-chemistry
Medical Research (Intercalated),UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/bsc-medical-research
BSc (Hons) Mathematics with a Placement Year,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-mathematics-with-a-placement-year
BSc (Hons) Mathematics with a Foundation Year,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-mathematics-with-a-foundation-year
BSc (Hons) Mathematics and Statistics,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-mathematics-and-statistics
BSc (Hons) Mathematics,UNDERGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-mathematics
BSc (Hons) Marine Sciences with a Placement Year,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-marine-sciences-with-a-placement-year
BSc (Hons) Marine Sciences,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-marine-sciences
BSc (Hons) International Development and the Environment with Overseas Placement,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-international-development-and-the-environment-with-overseas-placement
BSc (Hons) Global Development with the Environment with a Year Abroad,UNDERGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/bsc-global-development-with-the-environment-with-a-year-abroad
