Course_Title,Degree_Level,Course_Domain,Start_Date,End_Date,Course_Link
BA (Hons) English Literature with Creative Writing,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-with-creative-writing
BA (Hons) English Literature with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-with-a-placement-year
BA (Hons) English Literature (with a Foundation Year),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-with-a-foundation-year
BA (Hons) English Literature and Philosophy with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-and-philosophy-with-a-placement-year
BA (Hons) English Literature and Philosophy,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-and-philosophy
BA (Hons) English Literature and Drama with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-and-drama-with-a-placement-year
BA (Hons) English Literature and Drama,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature-and-drama
BA (Hons) English Literature,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-literature
BA (Hons) English and American Literature with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-english-and-american-literature-with-a-placement-year
BA (Hons) English and American Literature,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-and-american-literature
BA (Hons) English and American Literature (3 Years),UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-english-and-american-literature-3-years
BA (Hons) Education with a Year Abroad,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-with-a-year-abroad
"BA (Hons) Education, Special Educational Needs, and Inclusion with a Year Abroad",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-special-educational-needs-and-inclusion-with-a-year-abroad
"BA (Hons) Education, Special Educational Needs, and Inclusion",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-special-educational-needs-and-inclusion
"BA (Hons) Education, Learning and Teaching with a Year Abroad",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-learning-and-teaching-with-a-year-abroad
"BA (Hons) Education, Learning and Teaching",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-learning-and-teaching
"BA (Hons) Education, Childhood and Culture with a Year Abroad",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-childhood-and-culture-with-a-year-abroad
"BA (Hons) Education, Childhood and Culture",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education-childhood-and-culture
BA (Hons) Education,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-education
BA (Hons) Drama with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-drama-with-a-placement-year
BA (Hons) Drama and Creative Writing with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-drama-and-creative-writing-with-a-placement-year
BA (Hons) Drama and Creative Writing,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-drama-and-creative-writing
BA (Hons) Drama,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-drama
"BA (Hons) Culture, Literature and Politics",UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-culture-literature-and-politics
BA (Hons) Criminology,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-criminology
BA (Hons) Creative Writing and English Literature with a Placement Year,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-creative-writing-and-english-literature-with-a-placement-year
BA (Hons) Business Management with International Year One,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-management-with-international-year-one
BA (Hons) Business Management with a Year in Industry,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-management-with-a-year-in-industry
BA (Hons) Business Management with a Year Abroad,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-management-with-a-year-abroad
BA (Hons) Business Management,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-management
BA (Hons) Business and Human Resource Management with a Year in Industry,UNDERGRADUATE,"LITERATURE, DRAMA AND CREATIVE WRITING",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-and-human-resource-management-with-a-year-in-industry
BA (Hons) Business and Human Resource Management with a Year Abroad,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-and-human-resource-management-with-a-year-abroad
BA (Hons) Business and Human Resource Management,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-business-and-human-resource-management
BA (Hons) Broadcast and Multimedia Journalism,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-broadcast-and-multimedia-journalism
"BA (Hons) Archaeology, Anthropology and Art History with a Year Abroad",UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-archaeology-anthropology-and-art-history-with-a-year-abroad
"BA (Hons) Archaeology, Anthropology and Art History with a Placement Year",UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-archaeology-anthropology-and-art-history-with-a-placement-year
"BA (Hons) Archaeology, Anthropology and Art History",UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-archaeology-anthropology-and-art-history
BA (Hons) American Studies with a Placement Year,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-american-studies-with-a-placement-year
BA (Hons) American Studies (with a Foundation Year),UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-studies-with-a-foundation-year
BA (Hons) American Studies,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-studies
BA (Hons) American Studies (3 years),UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-studies-3-years
BA (Hons) American Literature with Creative Writing with a Placement Year,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-american-literature-with-creative-writing-with-a-placement-year
BA (Hons) American Literature with Creative Writing,UNDERGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-literature-with-creative-writing
BA (Hons) American History with a Placement Year,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/undergraduate/ba-american-history-with-a-placement-year
BA (Hons) American History,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-history
BA (Hons) American History (Three Years),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/undergraduate/ba-american-history-1
Postgraduate Certificate in Supervision of Low Intensity CBT with Children and Young People,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",JANUARY 2024,JANUARY 2024,https://www.uea.ac.uk/course/postgraduate/postgraduate-certificate-in-supervision-of-low-intensity-cbt-with-children-and-young-people
Evidence Based Low Intensity CBT Psychological Wellbeing Practitioner,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgcert-evidence-based-low-intensity-cbt-psychological-wellbeing-practitioner
PGCE Secondary Science (Specialising In Physics),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-science-specialising-in-physics
PGCE Secondary Science (Specialising In Chemistry),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-science-specialising-in-chemistry
PGCE Secondary Science (Specialising In Biology),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-science-specialising-in-biology
PGCE Secondary Science (Engineers teach Physics),UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-science-engineers-teach-physics
PGCE Secondary Physical Education,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-physical-education
PGCE Secondary Mathematics with Computing,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-mathematics-with-computing
PGCE Secondary Mathematics,UNDERGRADUATE,"ART, MEDIA AND AMERICAN STUDIES",SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-mathematics
PGCE Secondary History,POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-history
PGCE Secondary Geography,POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-geography
PGCE Secondary English,POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-secondary-english
PGCE Primary with Modern Languages (7-11),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pgce-primary-with-modern-languages-7-11
PGCE Primary (7-11 With Mathematics),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pgce-primary-7-11-with-mathematics
PGCE Primary (7-11),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pgce-primary-7-11
PGCE Primary (5-11 with SEND),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-5-11-with-send
PGCE Primary (5-11 with Modern Languages),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-5-11-with-modern-languages
PGCE Primary (5-11 with Mathematics),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-5-11-with-mathematics
PGCE Primary (5-11),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-5-11
PGCE Primary (3-7 with SEND),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-3-7-with-send
PGCE Primary (3-7 With Mathematics),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-3-7-with-mathematics
PGCE Primary (3-7),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-primary-3-7
PGCE Secondary Science (Specialising in Physics with Maths),POSTGRADUATE,EDUCATION,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/pgce-physics-with-mathematics
PG Certificate Clinical Education (Part Time),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pg-certifi-clinical-education-part-time
PDIP Oncoplastic Breast Surgery (Part Time),POSTGRADUATE,EDUCATION,JANUARY 2024,JANUARY 2024,https://www.uea.ac.uk/course/postgraduate/pdip-oncoplastic-breast-surgery-part-time
Educational Mental Health Practitioner,POSTGRADUATE,EDUCATION,JANUARY 2024,JANUARY 2024,https://www.uea.ac.uk/course/postgraduate/pdip-educational-mental-health-practitioner
PDIP Clinical Education (Part Time),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pdip-clinical-education-part-time
PDIP Clinical Education,POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/pdip-clinical-education
MSc Supply Chain Operations and Logistics Management,POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-supply-chain-operations-and-logistics-management
MSc Social and Applied Psychology (Part Time),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-social-and-applied-psychology-part-time
MSc Social and Applied Psychology,POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-social-and-applied-psychology
MSc Plant Genetics and Crop Improvement (Part time),POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-plant-genetics-and-crop-improvement-part-time
MSc Plant Genetics and Crop Improvement,POSTGRADUATE,EDUCATION,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-plant-genetics-and-crop-improvement
MSc Physiotherapy (February Start),POSTGRADUATE,HEALTH SCIENCES,FEBRUARY 2024,FEBRUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-physiotherapy-february-start
MSc Physician Associate Studies,POSTGRADUATE,HEALTH SCIENCES,JANUARY 2024,JANUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-physician-associate-studies
MSc Organisational Psychology,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-organisational-psychology
MSc Occupational Therapy (February Start),POSTGRADUATE,HEALTH SCIENCES,FEBRUARY 2024,FEBRUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-occupational-therapy-february-start
MSc Natural Product Drug Discovery,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-natural-product-drug-discovery
MSc Molecular Medicine,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-molecular-medicine
MSc Mental Health Nursing - Preregistration (February Start),POSTGRADUATE,HEALTH SCIENCES,FEBRUARY 2024,FEBRUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-mental-health-nursing-preregistration-february-start
MSc Master of Science in Principles of Regional Anaesthesia (Part Time),POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-master-of-science-in-principles-of-regional-anaesthesia-part-time
MSc Marketing and Management,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-marketing-and-management
MSc Marketing,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-marketing
MSc Management,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-management
MSc Investment and Financial Management,POSTGRADUATE,HEALTH SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-investment-and-financial-management
MSc International Business Finance and Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-international-business-finance-and-economics
MSc International Accounting and Financial Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-international-accounting-and-financial-management
MSc Impact Evaluation for Global Development,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-impact-evaluation-for-global-development
MSc Human Resource Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-human-resource-management
MSc Global Plant Health,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-global-plant-health
MSc Global Media Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-global-media-economics
MSc Global Development Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-global-development-management
MSc Global Business Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-global-business-management
MSc Finance and Management,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-finance-and-management
MSc Finance and Economics,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-finance-and-economics
MSc Environmental Sciences,POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-environmental-sciences
MSc Environmental Assessment and Management (Part time),POSTGRADUATE,ECONOMICS,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-environmental-assessment-and-management-part-time
MSc Environmental Assessment and Management,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-environmental-assessment-and-management
MSc Environment and Global Development,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-environment-and-global-development
MSc Energy Engineering with Environmental Management,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-energy-engineering-with-environmental-management
MSc Energy Engineering,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-energy-engineering
MSc Education Leadership and Management (Part Time),POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-education-leadership-and-management-part-time
MSc Education Leadership and Management,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-education-leadership-and-management
MSc Economics of International Finance and Trade,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-economics-of-international-finance-and-trade
MSc Economics and International Relations,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-economics-and-international-relations
MSc Economics and Data Science,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-economics-and-data-science
MSc Digital Business and Management,POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-digital-business-and-management
MSc Dietetics (pre-registration) (February Start),POSTGRADUATE,ENVIRONMENTAL SCIENCES,FEBRUARY 2024,FEBRUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-dietetics-pre-registration-february-start
MSc Developmental Science (Part Time),POSTGRADUATE,ENVIRONMENTAL SCIENCES,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-developmental-science-part-time
MSc Developmental Science,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-developmental-science
MSc Development Economics,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-development-economics
MSc Data Science (Part Time 3 Year),POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2024,SEPTEMBER 2024,https://www.uea.ac.uk/course/postgraduate/msc-data-science-part-time-3-year
MSc Data Science (Part Time 2 Year),POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-data-science-part-time-2-year-part-time
MSc Data Science,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-data-science
MSc Cyber Security (Part Time),POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-cyber-security-part-time
MSc Cyber Security,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-cyber-security
MSc Computing Science (Part Time),POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-computing-science-part-time
MSc Cognitive Neuroscience (Part Time),POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-cognitive-neuroscience-part-time
MSc Cognitive Neuroscience,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-cognitive-neuroscience
MSc Climate Change and Global Development,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-climate-change-and-global-development
MSc Climate Change,POSTGRADUATE,PSYCHOLOGY,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-climate-change
MSc Business and Management,POSTGRADUATE,NORWICH BUSINESS SCHOOL,JANUARY 2024,JANUARY 2024,https://www.uea.ac.uk/course/postgraduate/msc-business-and-management
MSc Business Analytics and Management,POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-business-analytics-and-management
MSc Brand Leadership,POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-brand-leadership
MSc Behavioural Economics and Data Science,POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-behavioural-economics-and-data-science
MSc Banking and Finance,POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-banking-and-finance
Applied Ecology - International Programme,POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-applied-ecology-international-programme
MSc Applied Ecology and Conservation (Part time),POSTGRADUATE,NORWICH BUSINESS SCHOOL,SEPTEMBER 2023,SEPTEMBER 2023,https://www.uea.ac.uk/course/postgraduate/msc-applied-ecology-and-conservation-part-time
