Course_Title,Degree_Level,Degree_Type,Attendance_Mode,Start Date,Course_Link
LAW AND SOCIAL CHANGE AT BIRKBECK,MPhil/PhD level,MPhil/PhD,"Full-time, On campus",October 2023,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fphd%2Flaw-and-social-change-at-birkbeck&auth=i%2B2t8Ks9FEM8p8sv%2F2Zrpg&profile=_default&rank=260&query=_
FILM AND MEDIA PRACTICE,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ffilm-and-media%2Ffilm-and-media-practice&auth=V0FRspjYulc18eItC8SN4A&profile=_default&rank=261&query=_
HEALTH AND SOCIAL CARE/WITH PROFESSIONAL PRACTICE,Undergraduate level,"BA (Hons), BSc (Hons)","Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fhealth-and-social-care-with-professional-practice&auth=q%2BAR5Ha6outqCiV1cTiMpQ&profile=_default&rank=262&query=_
JOURNALISM AND DIGITAL MEDIA,Undergraduate level,BA (Hons),"Full-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fjournalism-and-media%2Fjournalism-and-digital-media&auth=X56pXYDU6nyhn4rcbOhkrg&profile=_default&rank=263&query=_
"MODERN LANGUAGES (FRENCH, GERMAN, ITALIAN, JAPANESE, SPANISH)",Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year, With or without International Experience",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Fmodern-languages-french-german-italian-japanese-spanish&auth=TzBXy98IjZ5x7NloWH2m%2Bw&profile=_default&rank=264&query=_
THEATRE AND ARTS MANAGEMENT,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ftheatre-and-performance%2Ftheatre-and-arts-management&auth=v29VnyMwIUJYnicyknvetQ&profile=_default&rank=265&query=_
PERFORMANCE AND DIGITAL ARTS,Undergraduate level,BA (Hons),"Full-time, Part-time, On campus, With or without Foundation Year",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fundergraduate%2Ftheatre-and-performance%2Fperformance-and-digital-arts&auth=f%2F8gEpobujvgvOcvtEw1jg&profile=_default&rank=266&query=_
COUPLE AND INDIVIDUAL PSYCHODYNAMIC COUNSELLING AND PSYCHOTHERAPY,Postgraduate level,"MA, PG Dip","Part-time, On campus",September 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fcouple-and-individual-psychodynamic-counselling-and-psychotherapy&auth=JvVqIiyeQyuPFBab9tCSxQ&profile=_default&rank=267&query=_
CREATIVE WRITING AND CONTEMPORARY STUDIES,Postgraduate level,MA,"Full-time, Part-time, On campus",January 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fcreative-writing%2Fcreative-writing-and-contemporary-studies&auth=NsYN4jBA%2BORdHgD%2BhqXIAQ&profile=_default&rank=268&query=_
HISTORY OF ART AND ARCHITECTURE (GRADUATE CERTIFICATE),Postgraduate level,Graduate Certificate,"Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistory-of-art-and-architecture-graduate-certificate&auth=5NqO%2BJK649GhNaP%2BWELzaw&profile=_default&rank=269&query=_
HISTORY OF ART AND ARCHITECTURE (GRADUATE DIPLOMA),Postgraduate level,Graduate Diploma,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fhistory-of-art-and-architecture-graduate-diploma&auth=yNlwMnPuT7hfZRdAenVxuA&profile=_default&rank=270&query=_
LAW WITH INTERNATIONAL INTELLECTUAL PROPERTY,Postgraduate level,LLM,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Flaw-general%2Flaw-with-international-intellectual-property&auth=43tzv%2BB6xvvED4PCpUbEnw&profile=_default&rank=271&query=_
MANAGEMENT WITH INTERNATIONAL BUSINESS AND DEVELOPMENT,Postgraduate level,MSc,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmanagement%2Fmanagement-with-international-business-and-development&auth=Nf8CC5KZ7yMQp2%2B9%2Bh5wYw&profile=_default&rank=272&query=_
MUSEUM CULTURES WITH COLLECTIONS MANAGEMENT,Postgraduate level,MA,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fmuseum-cultures%2Fmuseum-cultures-with-collections-management&auth=KIb1Xfqm4cu9jBzXPGs7ig&profile=_default&rank=273&query=_
SOCIAL RESEARCH AND LAW AND LEGAL STUDIES,Postgraduate level,MRes,"Full-time, Part-time, On campus",October 2024,https://birkbeck-search.squiz.cloud/s/redirect?collection=bbk-meta-courses&url=https%3A%2F%2Fwww.bbk.ac.uk%2Fcourses%2Fpostgraduate%2Fsocial-research-and-law-and-legal-studies&auth=lueqnjHit2gXUfJGFDw5%2BA&profile=_default&rank=274&query=_
