Course_Title,Degree_Level,Duration,Attendance_Mode,Start_Date,Course_Link
Prescribing for Pharmacists Module (Part-time),CPD Module,5 months,Part-time,"January, September",https://www.bradford.ac.uk/courses/cpd/prescribing-for-pharmacists/
Professional Certificate in Glaucoma Module (Part-time),CPD Module,One semester,Part-time,"January, June, September",https://www.bradford.ac.uk/courses/cpd/professional-certificate-in-glaucoma/
Professional Higher Certificate in Glaucoma Module (Part-time),CPD Module,One semester,Part-time,"January, September",https://www.bradford.ac.uk/courses/cpd/professional-higher-certificate-in-glaucoma/
Project Planning and Management MSc,Postgraduate,Sept - 12 months (15 with placement) / Jan - 15 months (18 with placement),Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/project-planning-and-management/
Project Planning and Management MSc (Part-time),Postgraduate,Sept - 24 months / Jan - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/project-planning-and-management/
Psychology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/psychology-bsc/?att=ft
Psychology MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/psychology/
Psychology (Distance Learning) MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/psychology-distance-learning/
Psychology (Distance Learning) MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/psychology-distance-learning/
Psychology (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/psychology-bsc/
Psychology and Criminology BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/psychology-and-criminology-bsc/
Psychology of Health and Wellbeing MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/psychology-health-wellbeing/
Psychology with Counselling BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/psychology-with-counselling-bsc/?att=ft
Psychology with Counselling (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/psychology-with-counselling-bsc/
Public Health MPH,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/public-health/
Public Health MPH (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/public-health/
Public Health and Community Wellbeing BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/public-health-community-wellbeing-bsc/
Rehabilitation Studies (Continence for Physiotherapists) MSc (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/rehabilitation-studies-continence-for-physiotherapists/
Rehabilitation Studies (Musculoskeletal Physiotherapy Practice) MSc (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/musculoskeletal-physiotherapy-practice/
Rehabilitation Studies (Physiotherapy in Women's Health) MSc (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/physiotherapy-womens-health/
Rehabilitation Studies (Physiotherapy in Women's Health) PG Diploma (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/physiotherapy-womens-health/
Rehabilitation Studies (Physiotherapy in Women's Health) PG Certificate (Part-time),Postgraduate,Up to 3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/physiotherapy-womens-health/
Renewable and Sustainable Energy MSc,Postgraduate,1 year,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/renewable-and-sustainable-energy/
Return to Practice Module (Part-time),CPD Module,3 months,Part-time,"February, September",https://www.bradford.ac.uk/courses/cpd/return-to-practice/
Satellite Systems Engineering MSc,Postgraduate,1 year,Full-time,"January, September",https://www.bradford.ac.uk/courses/pg/satellite-systems-engineering/
Skin Cancer (Clinical Examination and Case Management) Module (Part-time),CPD Module,7 months,Part-time,November,https://www.bradford.ac.uk/courses/cpd/clinical-examination-case-management-skin-cancer/
Skin Science and Stem Cell Biology MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/skin-science-and-stem-cell-biology/
Social Sciences Research for Healthcare MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/social-sciences-research-for-healthcare/
Social Sciences Research for Healthcare MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/social-sciences-research-for-healthcare/
Social Work BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/social-work-ba/
Social Work MA,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/social-work/
Social Work MA,Undergraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/social-work/
Sociology BA (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/sociology-ba/
Software Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/software-engineering-beng/?att=ft
Software Engineering (with Integrated Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/software-engineering-with-integrated-foundation/?att=ft
Software Engineering (with Integrated Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/software-engineering-with-integrated-foundation/?att=ft
Software Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/software-engineering-beng/
Specialist Healthcare Practitioner (Part-time),Postgraduate,3 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/specialist-healthcare-practitioner/
Specialist Mental Health Pharmacist Training Pathway Module (Part-time),CPD Module,12 months,Part-time,March,https://www.bradford.ac.uk/courses/cpd/specialist-mental-health-pharmacist/
Summer Pre-sessional English Language Programme,Undergraduate,6 weeks or 10 weeks,Full-time,July,https://www.bradford.ac.uk/courses/other/pre-sessional-english-language-programme/
Sustainable Development MSc,Postgraduate,Sept - 12 months (15 with placement) / Jan - 15 months (18 with placement),Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/sustainable-development/
Sustainable Development MSc (Part-time),Postgraduate,September start - 24 months / January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/sustainable-development/
Symptom Management in Life Limiting Illnesses Module (Part-time),CPD Module,4 months,Part-time,March,https://www.bradford.ac.uk/courses/cpd/symptom-management-in-life-limiting-illnesses/
Systematic Examination of the Newborn (Part-time),CPD Module,1 year,Part-time,October,https://www.bradford.ac.uk/courses/cpd/systematic-examination-of-the-newborn/
Technology and Artificial Intelligence Law LLM,Postgraduate,12-15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/technology-and-artificial-intelligence-law/
Technology and Artificial Intelligence Law LLM (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/technology-and-artificial-intelligence-law/
Technology and Artificial Intelligence Law (Distance Learning) LLM,Postgraduate,12-15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/technology-and-artificial-intelligence-law-distance-learning/
Technology and Artificial Intelligence Law (Distance Learning) LLM (Part-time),Postgraduate,2 years,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/technology-and-artificial-intelligence-law-distance-learning/
Theory of Physiotherapy in Womens Health Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/theory-of-physiotherapy-womens-health/
Trauma Informed Maternity Care (Part-time),CPD Module,6 months,Part-time,February,https://www.bradford.ac.uk/courses/cpd/trauma-informed-maternity-care/
Understanding Health and Social Care through Policy and Strategy Module (Part-time),CPD Module,4 months,Part-time,September,https://www.bradford.ac.uk/courses/cpd/policy-and-strategy/
"Working with Children, Young People and Families BA (Hons)",Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/working-with-children-young-people-and-families-ba/?att=ft
"Working with Children, Young People and Families (with placement year) BA (Hons)",Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/working-with-children-young-people-and-families-ba/
Working with Communities to Improve Health Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/working-with-communities-to-improve-health/
