Course_Title,Degree_Level,Duration,Attendance_Mode,Start_Date,Course_Link
Leadership in Health and Social Care (Distance Learning) MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (Distance Learning) PG Diploma,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (Distance Learning) PG Certificate,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (Distance Learning) MSc (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (Distance Learning) PG Diploma (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (Distance Learning) PG Certificate (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-distance-learning/
Leadership in Health and Social Care (International) (Distance Learning),Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-international-distance-learning/
Leadership in Health and Social Care (International) (Distance Learning) (Part-time),Postgraduate,2 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/leadership-in-health-and-social-care-international-distance-learning/
Leading Change and Service Improvement in Health and Social Care Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/leading-change-and-service-improvement/
Legal Theory and Solicitors Practice MLaw (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/legal-theory-and-solicitors-practice/
Legal Theory and Solicitors Practice LLM,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/legal-theory-and-solicitors-practice/
Legal Theory and Solicitors Practice LLM (Part-time),Postgraduate,4 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/legal-theory-and-solicitors-practice/
Legal Theory and Solicitors Practice (Distance Learning) LLM,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/legal-theory-and-solicitors-practice-distance-learning/
Legal Theory and Solicitors Practice (Distance Learning) LLM (Part-time),Postgraduate,4 years,Part-time,September,https://www.bradford.ac.uk/courses/pg/legal-theory-and-solicitors-practice-distance-learning/
"Logistics, Data Analytics and Supply Chain Management MSc",Postgraduate,"15 months Jan start, 1 year Sept start",Full-time,September and January,https://www.bradford.ac.uk/courses/pg/logistics-data-analytics-supply-chain-management/
"Logistics, Data Analytics and Supply Chain Management MSc (Part-time)",Postgraduate,27 months January start 24 months September start,Part-time,September and January,https://www.bradford.ac.uk/courses/pg/logistics-data-analytics-supply-chain-management/
Management MSc,Postgraduate,12 or 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/management/
Management MSc (Part-time),Postgraduate,September start - 24 months / January start 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/management/
Management (with Professional Placement) MSc,Postgraduate,15 months,Full-time,September,https://www.bradford.ac.uk/courses/pg/management-with-placement/
Management and Business Analytics BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/management-and-business-analytics-bsc/?att=ft
Management and Business Analytics (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/management-and-business-analytics-bsc/
Managing People in Health and Social Care Module (Part-time),CPD Module,4 months,Part-time,January,https://www.bradford.ac.uk/courses/cpd/managing-people-in-health-and-social-care/
Marketing BSc (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/marketing-bsc/?att=ft
Marketing MSc,Postgraduate,September start - 12 months January start - 15 months,Full-time,"September, January",https://www.bradford.ac.uk/courses/pg/marketing/
Marketing MSc (Part-time),Postgraduate,September start - 24 January start - 27 months,Part-time,"September, January",https://www.bradford.ac.uk/courses/pg/marketing/
Marketing (with placement year) BSc (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/marketing-bsc/
Master by Research MRes,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/master-by-research/
Master of Optometry MOptom (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/master-of-optometry/
Master of Physician Associate Studies MPAS,Postgraduate,2 years,Full-time,September,https://www.bradford.ac.uk/courses/pg/physicians-associate-studies/
Materials Chemistry MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/materials-chemistry/
MBA (Executive MBA in Dubai) MBA (Part-time),Postgraduate,2 - 3 years,Part-time,"September, April",https://www.bradford.ac.uk/courses/pg/mba-dubai/
MBA Distance Learning MBA (Part-time),Postgraduate,2-3 years,Part-time,"January, April, July, September",https://www.bradford.ac.uk/courses/pg/mba-distance-learning/
Mechanical Engineering BEng (Hons),Undergraduate,3 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-beng/?att=ft
Mechanical Engineering MEng,Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-meng/?att=ft
Mechanical Engineering (with Integrated Engineering Foundation Year) BEng (Hons),Undergraduate,4 years,Full-time,September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-with-integrated-foundation/?att=ft
Mechanical Engineering (with placement year) BEng (Hons),Undergraduate,4 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-beng/
Mechanical Engineering (with placement year) MEng,Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-meng/
Mechanical Engineering with (Integrated Engineering Foundation Year and Placement Year) BEng (Hons),Undergraduate,5 years,Full-time (including placement),September,https://www.bradford.ac.uk/courses/ug/mechanical-engineering-with-integrated-foundation/
Medical Bioscience MSc,Postgraduate,1 year,Full-time,September,https://www.bradford.ac.uk/courses/pg/medical-bioscience/
