Course_Title,Degree_Type,Duration,Course_Link
Physics with Nanotechnology,MPhys,4 years,https://www.southampton.ac.uk/courses/physics-with-nanotechnology-degree-mphys
Physics with Photonics,MPhys,4 years,https://www.southampton.ac.uk/courses/physics-with-photonics-degree-mphys
Physics with Quantum Science and Technologies,MPhys,4 years,https://www.southampton.ac.uk/courses/physics-with-quantum-science-technologies-degree-mphys
Physics with Space Science,MPhys,4 years,https://www.southampton.ac.uk/courses/physics-with-space-science-degree-mphys
Physics with Year of Experimental Research,MPhys,4 years,https://www.southampton.ac.uk/courses/physics-with-year-of-experimental-research-degree-mphys
Physiotherapy,BSc,3 years,https://www.southampton.ac.uk/courses/physiotherapy-degree-bsc
Podiatry,BSc,3 years,https://www.southampton.ac.uk/courses/podiatry-degree-bsc
Politics,BSc,3 years,https://www.southampton.ac.uk/courses/politics-degree-bsc
Politics and Economics,BSc,3 years,https://www.southampton.ac.uk/courses/politics-economics-degree-bsc
Politics and International Relations,BSc,3 years,https://www.southampton.ac.uk/courses/politics-international-relations-degree-bsc
Population Sciences,BSc,3 years,https://www.southampton.ac.uk/courses/population-sciences-degree-bsc
Psychology,BSc,3 years,https://www.southampton.ac.uk/courses/psychology-degree-bsc
Sociology,BSc,3 years,https://www.southampton.ac.uk/courses/sociology-degree-bsc
Sociology and Criminology,BSc,3 years,https://www.southampton.ac.uk/courses/sociology-criminology-degree-bsc
Software Engineering,MEng,4 years,https://www.southampton.ac.uk/courses/software-engineering-degree-meng
Software Engineering,BEng,3 years,https://www.southampton.ac.uk/courses/software-engineering-degree-beng
