Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Psychology and Spanish,NA,Full-time,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/psychology-and-spanish
"Public Health Nutrition MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Full-time - PGDip, Part-time - MSc, Part-time - PGDip, Part-time - PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/public-health-nutrition
Registered Nurse (Degree Apprenticeship) BN,BN,Full-time - BN,"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/registered-nurse-degree-apprenticeship
Respiratory Medicine MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024",https://www1.chester.ac.uk/study/postgraduate/respiratory-medicine
Return to Practice (RTP) Nursing,NA,Part-time,"Jan 2024, Apr 2024, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/return-practice-rtp-nursing
Secondary (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-lead-school-partner-route
Secondary Art and Design PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-art-and-design
Secondary Art and Design (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-art-and-design-lead-school-partner-route
Secondary Biology PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-biology
Secondary Biology (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-biology-lead-school-partner-route
Secondary Business Studies (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-business-studies-lead-school-partner-route
Secondary Chemistry PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-chemistry
Secondary Chemistry (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-chemistry-lead-school-partner-route
Secondary Computer Science PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-computer-science
Secondary Computing (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-computing-lead-school-partner-route
Secondary Design and Technology PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-design-and-technology
Secondary Design and Technology (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-design-and-technology-lead-school-partner-route
Secondary Drama PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-drama
Secondary Drama (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-drama-lead-school-partner-route
Secondary English PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-english
Secondary English (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-english-lead-school-partner-route
Secondary Geography PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-geography
Secondary Geography (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-geography-lead-school-partner-route
Secondary History PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-history
Secondary History (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-history-lead-school-partner-route
Secondary Mathematics PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-mathematics
Secondary Mathematics (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-mathematics-lead-school-partner-route
Secondary Modern Languages PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-modern-languages
Secondary Modern Languages (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-modern-languages-lead-school-partner-route
Secondary Music (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-music-lead-school-partner-route
Secondary Physical Education PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-physical-education
Secondary Physical Education (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-physical-education-lead-school-partner-route
Secondary Physics PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-physics
Secondary Physics (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-physics-lead-school-partner-route
Secondary Religious Education PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-religious-education
Secondary Religious Education (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-religious-education-lead-school-partner-route
Secondary Social Sciences (Lead School Partner Route) PGCE with QTS,PGCE with QTS,Full-time - PGCE with QTS,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/secondary-social-sciences-lead-school-partner-route
"Social Work MA, PGDip",PGDip,"Full-time - MA, Full-time - PGDip","Jan 2023, Jan 2024",https://www1.chester.ac.uk/study/postgraduate/social-work
Social Work BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/social-work
Social Work Degree Apprenticeship BA (Hons),BA (Hons),Full-time - BA (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/social-work-degree-apprenticeship
Sociology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sociology
Sociology (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sociology-combined
Sociology of Sport and Exercise MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/sociology-sport-and-exercise
Software Engineering BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Placement Year - BSc (Hons), Full-time with Foundation Year - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/software-engineering
Spanish (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/spanish-combined
Spanish and Sport and Exercise Sciences,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/spanish-and-sport-and-exercise-sciences
"Special Educational Needs and Disability MA, PGDip, PGCert",PGCert,"Part-time - MA, Part-time - PGDip, Part-time - PGCert","Jan 2024, Apr 2024, Oct 2024",https://www1.chester.ac.uk/study/postgraduate/special-educational-needs-and-disability
Sport and Exercise Sciences MRes,MRes,"Full-time - MRes, Part-time - MRes","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/sport-and-exercise-sciences
Sport and Exercise Sciences BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sport-and-exercise-sciences
Sport and Exercise Sciences (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sport-and-exercise-sciences-combined
Sport and Exercise Sciences and Psychology,NA,"Full-time -, Part-time -","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sport-and-exercise-sciences-and-psychology
Sports Coaching BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sports-coaching
Sports Journalism BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/sports-journalism
Sports Medicine MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/sports-medicine
Sports Performance Analysis MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/sports-performance-analysis
Sports Performance Science MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/sports-performance-science
Stem Cells and Regenerative Medicine MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/stem-cells-and-regenerative-medicine
Storytelling (MRes) MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/storytelling-mres
TESOL (Teaching English to Speakers of Other Languages) MA,MA,"Full-time - MA, Part-time - MA","Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/tesol-teaching-english-speakers-other-languages
Theology and Religious Studies MA,MA,"Full-time - MA, Part-time - MA",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/theology-and-religious-studies
Theology and Religious Studies BA (Hons),BA (Hons),"Full-time - BA (Hons), Full-time with Foundation Year - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/theology-and-religious-studies
Wildlife Conservation MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/wildlife-conservation
Work Based and Integrative Studies BA/BSc (Hons),BA/BSc (Hons),Part-time - BA/BSc (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/work-based-and-integrative-studies
Work Based and Integrative Studies (WBIS) MA / MSc / MBA,MA / MSc / MBA,Part-time - MA / MSc / MBA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/work-based-and-integrative-studies-wbis
"Working with Children, Young People and Families (WBIS) BA (Hons)",BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Jan 2024, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/working-children-young-people-and-families-wbis
Zoology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/zoology
