Course_Title,Degree_Type,Attendance_Mode,Start_Date,Course_Link
Business Management and Administration (Top-Up) BA (Level 6 only),BA (Level 6 only),Full-time - BA (Level 6 only),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-and-administration-top
Business Management and Events Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-and-events-management
Business Management and International Tourism Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-and-international-tourism-management
Business Management and Marketing Management BA (Hons),"BA (Hons)
BA (Hons)","Full-time - BA (Hons), Part-time - BA (Hons), BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/business-management-and-marketing-management
Cambridge CELTA: Certificate in Teaching English to Speakers of Other Languages,NA,Part-time,Jan 2024,https://www1.chester.ac.uk/study/short/cambridge-celta-certificate-teaching-english-speakers-other-languages
Cardiovascular Disease MSc,MSc,"Full-time - MSc, Part-time - MSc","Feb 2024, Oct 2024, Feb 2025",https://www1.chester.ac.uk/study/postgraduate/cardiovascular-disease
"Cardiovascular Health and Rehabilitation MSc, PGDip, PGCert",PGCert,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip, Part-time - PGCert",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/cardiovascular-health-and-rehabilitation
"Chemical Engineering BEng, MEng",MEng,"Full-time - BEng, Part-time - BEng, Full-time - MEng, Full-time with Foundation Year - BEng, Part-time - MEng","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chemical-engineering
Chemistry BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Full-time with Placement Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chemistry
Childhood Studies with Applied Psychology BA (Hons),BA (Hons),Full-time - BA (Hons),"Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/childhood-studies-applied-psychology
Children's Nursing BN (Hons),BN (Hons),"Full-time - BN (Hons), Full-time with Foundation Year - BN (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/childrens-nursing
Chinese (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chinese-combined
Chinese and English Language,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chinese-and-english-language
Chinese and International Relations,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chinese-and-international-relations
Chinese and Spanish,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/chinese-and-spanish
Clinical Counselling MA,MA,Part-time - MA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/clinical-counselling
Clinical Sciences and Nutrition MRes,MRes,"Full-time - MRes, Part-time - MRes",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/clinical-sciences-and-nutrition
Coaching and Mentoring PGCert: Level 7,PGCert: Level 7,Part-time - PGCert: Level 7,"Jan 2024, Oct 2024, Jan 2025",https://www1.chester.ac.uk/study/postgraduate/coaching-and-mentoring
"Cognitive & Behavioural Therapies: High Intensity Training MSc, PGDip",PGDip,"Full-time - MSc, Part-time - MSc, Full-time - PGDip, Part-time - PGDip",Nov 2023,https://www1.chester.ac.uk/study/postgraduate/cognitive-behavioural-therapies-high-intensity-training
Community Policing and Criminal Investigation BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/community-policing-and-criminal-investigation
Computer Science BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/computer-science
Computer Science (Conversion) MSc,MSc,"Full-time - MSc, Part-time - MSc",Oct 2024,https://www1.chester.ac.uk/study/postgraduate/computer-science-conversion
Conservation and Sustainability Education PGCert,PGCert,Part-time - PGCert,Sep 2024,https://www1.chester.ac.uk/study/postgraduate/conservation-and-sustainability-education
Counselling Skills (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/counselling-skills-combined
Counselling Skills and Criminology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/counselling-skills-and-criminology
Counselling Skills and Psychology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/counselling-skills-and-psychology
Counselling Skills and Sociology,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/counselling-skills-and-sociology
Creative Writing (Combined) BA (Hons),BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/creative-writing-combined
Creative Writing and Drama BA (Hons),BA (Hons),Full-time - BA (Hons),Sep 2024,https://www1.chester.ac.uk/study/undergraduate/creative-writing-and-drama
Creative Writing and English Literature,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/creative-writing-and-english-literature
Creative Writing and History,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/creative-writing-and-history
Creative Writing and Journalism,BA (Hons),"Full-time - BA (Hons), Part-time - BA (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/creative-writing-and-journalism
Creative Writing: Writing and Publishing Fiction MA,MA,Full-time - MA,Oct 2024,https://www1.chester.ac.uk/study/postgraduate/creative-writing-writing-and-publishing-fiction
Criminology BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/criminology
Criminology (Combined) BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/criminology-combined
Criminology and Forensic Biology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/criminology-and-forensic-biology
Criminology and Psychology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/criminology-and-psychology
Criminology and Sociology,BSc (Hons),"Full-time - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/criminology-and-sociology
Cybersecurity BSc (Hons),BSc (Hons),"Full-time - BSc (Hons), Full-time with Foundation Year - BSc (Hons), Part-time - BSc (Hons)","Sep 2023, Sep 2024",https://www1.chester.ac.uk/study/undergraduate/cybersecurity
