Course_Title,Degree_Level,Start_Date,Course_Links
Digital & Technology Solutions Specialist Degree Apprenticeship MSc,Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/digital-technology-solutions-specialist-degree-apprenticeship-msc/september-2024
Digital and Technology Solutions Degree Apprenticeship BSc (Hons),Degree apprenticeships,Nov-23,https://www.aston.ac.uk/study/courses/digital-and-technology-solutions-degree-apprenticeship-bsc/november-2023
Digital Marketing Degree Apprenticeship BSc (Hons),Degree apprenticeships,Jan-24,https://www.aston.ac.uk/study/courses/digital-marketing-degree-apprenticeship-bsc/january-2024
Doctor of Optometry / Doctor of Ophthalmic Science DOptom/DOphSc,Research degrees/PhD,Mar-24,https://www.aston.ac.uk/study/courses/doctor-optometry-doctor-ophthalmic-science-doptomdophsc/march-2024
Drug Delivery MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/drug-delivery-msc/september-2024
Economics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-bsc
Economics and Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-and-management-bsc
Economics and Politics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2024
Economics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/economics-msc/september-2024
EEG in Practice,Professional courses/CPD,Sep-23,https://www.aston.ac.uk/study/courses/eeg-practice/september-2023
Electrical and Electronic Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-beng/september-2024
Electrical and Electronic Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-meng/september-2024
Electrical Power Engineering FdEng,Work,Oct-23,https://www.aston.ac.uk/study/courses/electrical-power-engineering-fdeng/october-2023
Electronic Engineering and Computer Science BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-beng/september-2024
Electronic Engineering and Computer Science MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-meng/september-2024
Engineering Leadership & Management Degree Apprenticeship PgDip,Degree apprenticeships,Nov-23,https://www.aston.ac.uk/study/courses/engineering-leadership-management-degree-apprenticeship-pgdip/november-2023
Engineering Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/engineering-management-msc/january-2024
Engineering Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/engineering-management-msc/september-2024
Engineering Postgraduate Diploma Degree Apprenticeship PgDip,Degree apprenticeships,Oct-24,https://www.aston.ac.uk/study/courses/engineering-postgraduate-diploma-degree-apprenticeship-pgdip/october-2024
English and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-and-sociology-bsc
English Language BA (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-language-ba/september-2024
English Language and Literature BA (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/english-language-and-literature-ba/september-2024
English MA,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/english-ma/september-2024
English MA (Distance Learning),"Postgraduate MA/MSc courses, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/english-ma-distance-learning/september-2024
Entrepreneurship MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/entrepreneurship-msc/september-2024
Executive Doctor of Business Administration (DBA),delivered in Singapore,Sep-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-singapore
Executive Doctor of Business Administration (DBA) Online,"Research degrees/PhD, Online courses",Apr-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-online/april-2024
Executive Doctor of Business Administration (DBA) Online,"Research degrees/PhD, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/executive-doctor-business-administration-dba-online/september-2024
Executive MBA,MBA,Sep-24,https://www.aston.ac.uk/study/courses/executive-mba/september-2024
Executive MBA,MBA,Apr-24,https://www.aston.ac.uk/study/courses/executive-mba/april-2024
Finance BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/finance-bsc/september-2024
Finance and Economics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/finance-and-economics-msc/september-2024
Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/finance-msc/september-2024
Financial Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/financial-management-msc/september-2024
Financial Technology MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/financial-technology-msc/september-2024
Forensic Linguistics MA,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/forensic-linguistics-ma/september-2024
Forensic Linguistics MA (Distance Learning),"Postgraduate MA/MSc courses, Online courses",Sep-24,https://www.aston.ac.uk/study/courses/forensic-linguistics-ma-distance-learning/september-2024
Foundation Degree Hearing Aid Audiology FDSc,,Sep-24,https://www.aston.ac.uk/study/courses/foundation-degree-hearing-aid-audiology-fdsc/september-2024
Foundation Programme in Business and Social Science BSc (Hons),Foundation programmes,Sep-24,https://www.aston.ac.uk/study/courses/foundation-programme-business-and-social-science-bsc/september-2024
Foundation Programme in Engineering and Applied Science,Foundation programmes,Sep-24,https://www.aston.ac.uk/study/courses/foundation-programme-engineering-and-applied-science/september-2024
Future Vehicle Technologies (including Professional Practice) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/future-vehicle-technologies-including-professional-practice-msc/september-2024
Future Vehicle Technologies MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/future-vehicle-technologies-msc/september-2024
General Ocular Therapeutics,Standalone module,Oct-23,https://www.aston.ac.uk/study/courses/general-ocular-therapeutics-standalone-module/october-2023
Glaucoma,Professional Certificate,Mar-24,https://www.aston.ac.uk/study/courses/glaucoma-professional-certificate/march-2024
Glaucoma,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/glaucoma-standalone-module/march-2024
Graduate Diploma in Optometry,Undergraduate degrees,Sep-23,https://www.aston.ac.uk/study/courses/graduate-diploma-in-optometry
Haematology and Transfusion Science,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/haematology-and-transfusion-science-standalone-module/september-2023
Health and Patient Psychology,,Oct-23,https://www.aston.ac.uk/study/courses/health-and-patient-psychology/october-2023
Health Psychology MSc (on,campus) MSc,Sep-24,https://www.aston.ac.uk/study/courses/health-psychology-msc-campus/september-2024
Health Psychology MSc (online) MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/health-psychology-msc-online/september-2024
Healthcare Science (Audiology): Degree Apprenticeship BSc (Hons),Degree apprenticeships,Sep-24,https://www.aston.ac.uk/study/courses/healthcare-science-practitioner-audiology-degree-apprenticeship-bsc
Healthcare Science Audiology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc/september-2024
Healthcare Science Audiology (direct entry to final year) BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/healthcare-science-audiology-direct-entry-final-year-bsc/september-2024
Hearing Therapy Counselling and Communications Skills,Professional courses/CPD,Oct-23,https://www.aston.ac.uk/study/courses/hearing-therapy-counselling-and-communications-skills/october-2023
Hearing Therapy PgCert/PgDip,Professional courses/CPD,Oct-24,https://www.aston.ac.uk/study/courses/hearing-therapy-pgcert-pgdip
History BA (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/history-ba/september-2024
History and English BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/history-and-english-bsc/september-2024
History and International Relations BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/history-and-international-relations-bsc/september-2024
History and Politics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/history-and-politics-bsc
Human Anatomy and Physiology,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/human-anatomy-and-physiology-standalone-module/september-2023
Human Resource Management MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/human-resource-management-msc/january-2024
Human Resource Management MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/human-resource-management-msc/september-2024
Human Resources and Business Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/human-resources-and-business-management-bsc/september-2024
Immunology,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/immunology-standalone-module/september-2023
Independent Prescribing for Optometrists PgCert,Professional courses/CPD,Mar-24,https://www.aston.ac.uk/study/courses/independent-prescribing-optometrists-pgcert/march-2024
Information Systems and Business Analysis MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/information-systems-and-business-analysis-msc/january-2024
Information Systems and Business Analysis MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/information-systems-and-business-analysis-msc/september-2024
International Accounting and Finance MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/international-accounting-and-finance-msc/january-2024
International Accounting and Finance MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/international-accounting-and-finance-msc/september-2024
International Business and Economics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/international-business-and-economics-bsc/september-2024
International Business and Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/international-business-and-management-bsc
International Business MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/international-business-msc/january-2024
International Business MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/international-business-msc/september-2024
International Commercial Law LLM,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/international-commercial-law-llm/september-2024
International Development Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/international-development-management-bsc/september-2024
International Relations and Social Policy BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/international-relations-and-social-policy-bsc
International Relations and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/international-relations-and-sociology-bsc/september-2024
International Relations MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/international-relations-msc/september-2024
Investment Analysis MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/investment-analysis-msc/january-2024
Investment Analysis MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/investment-analysis-msc/september-2024
Law LLB (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/law-llb
Logistics with Supply Chain Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/logistics-supply-chain-management-bsc/september-2024
Marketing BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/marketing-bsc/september-2024
Marketing and Analytics MSc,Postgraduate MA/MSc courses,Jan-24,https://www.aston.ac.uk/study/courses/marketing-and-analytics-msc/january-2024
Mathematics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/mathematics-bsc/september-2024
Mathematics with Economics BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/mathematics-economics-bsc/september-2024
MBA (Full,time),Jan-24,https://www.aston.ac.uk/study/courses/mba-full-time/january-2024
MBA (Full,time),Sep-24,https://www.aston.ac.uk/study/courses/mba-full-time/september-2024
Mechanical Engineering BEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/mechanical-engineering-beng/september-2024
Mechanical Engineering MEng,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/mechanical-engineering-meng/september-2024
Mechanical Engineering MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/mechanical-engineering-msc/september-2024
Medical Bioscience (Singapore) BSc,Undergraduate degrees,Jan-24,https://www.aston.ac.uk/study/courses/medical-bioscience-singapore-bsc/january-2024
Medical Microbiology,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/medical-microbiology-standalone-module/september-2023
Medical Retina – Professional Certificate,Postgraduate MA/MSc courses,Mar-24,https://www.aston.ac.uk/study/courses/medical-retina-professional-certificate/march-2024
Medical Retina – Standalone module,Postgraduate MA/MSc courses,Mar-24,https://www.aston.ac.uk/study/courses/medical-retina-standalone-module/march-2024
Medicine MBChB,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/medicine-mbchb
Mental Health Therapeutics PgCert,Professional courses/CPD,Jan-24,https://www.aston.ac.uk/study/courses/mental-health-therapeutics-pgcert/january-2024
Molecular Biology and Genetics,Standalone module,Sep-23,https://www.aston.ac.uk/study/courses/molecular-biology-and-genetics-standalone-module/september-2023
Myopia,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/myopia-standalone-module/march-2024
Nerve Conduction and Evoked Potentials,standalone module,Sep-23,https://www.aston.ac.uk/study/courses/nerve-conduction-and-evoked-potentials-standalone-module/september-2023
Neuropharmacology MRes,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/neuropharmacology-mres/september-2024
Neurophysiology PgCert,Professional courses/CPD,Sep-24,https://www.aston.ac.uk/study/courses/neurophysiology-pgcert/september-2024
Neuroscience BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/neuroscience-bsc
Neuroscience for Drug Discovery MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/neuroscience-drug-discovery-msc/september-2024
Nursing Studies (Registered Nurse Adult Nursing) BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/nursing-studies-registered-nurse-adult-nursing-bsc/september-2024
Nutrition and the Eye,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/nutrition-and-eye-standalone-module/march-2024
Ocular Surface Disease Management,,Oct-24,https://www.aston.ac.uk/study/courses/ocular-surface-disease-management/october-2024
Optometry MOptom,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/optometry-moptom/september-2024
Optometry / Ophthalmic Science MSc,Postgraduate MA/MSc courses,Mar-24,https://www.aston.ac.uk/study/courses/optometry-ophthalmic-science-msc/march-2024
Paediatric Eye Care,Professional Certificate,Mar-24,https://www.aston.ac.uk/study/courses/paediatric-eye-care-professional-certificate/march-2024
Paediatric Eye Care,Standalone module,Mar-24,https://www.aston.ac.uk/study/courses/paediatric-eye-care-standalone-module/march-2024
Pharmaceutical Sciences MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/pharmaceutical-sciences-msc/september-2024
Pharmacist Independent Prescribing,Practice Certificate,Mar-24,https://www.aston.ac.uk/study/courses/pharmacist-independent-prescribing-practice-certificate/march-2024
Pharmacokinetics MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/pharmacokinetics-msc/september-2024
Pharmacy MPharm,Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/pharmacy-mpharm/september-2024
PhD,Aston Business School,Oct-24,https://www.aston.ac.uk/study/courses/phd-aston-business-school/october-2024-0
PhD,Aston Law School,Oct-24,https://www.aston.ac.uk/study/courses/phd-aston-law-school/october-2024-0
PhD,Engineering and Physical Sciences,Oct-24,https://www.aston.ac.uk/study/courses/phd-engineering-and-physical-sciences/october-2024
PhD,Health and Life Sciences,Oct-24,https://www.aston.ac.uk/study/courses/phd-health-and-life-sciences/october-2024
PhD,School of Social Sciences and Humanities,Oct-24,https://www.aston.ac.uk/study/courses/phd-school-social-sciences-and-humanities/october-2024
Physician Associate Practice MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/physician-associate-practice-msc/september-2024
Politics and Social Policy BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/politics-and-social-policy-bsc/september-2024
Politics and Sociology BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/politics-and-sociology-bsc/september-2024
Politics with International Relations BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/politics-international-relations-bsc
Postgraduate Certificate in Team Coaching,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/postgraduate-certificate-team-coaching/september-2024
Postgraduate Diploma for Overseas Pharmacists (OSPAP) PgDip/MSc,Postgraduate MA/MSc courses,Sep-24,https://www.aston.ac.uk/study/courses/postgraduate-diploma-overseas-pharmacists-ospap-pgdipmsc/september-2024
Practical Process Engineering,Professional courses/CPD,May-23,https://www.aston.ac.uk/study/courses/practical-process-engineering/october-2021
Pre,sessional English programmes for Academic Purposes,Apr-23,https://www.aston.ac.uk/study/courses/pre-sessional-english-programmes-for-academic-purposes/february-2021
Product Design and Management BSc (Hons),Undergraduate degrees,Sep-24,https://www.aston.ac.uk/study/courses/product-design-and-management-bsc/september-2024
