Course_Title,Degree_Level,Attendance_Mode,Course_Link
Business and Management BSc (Brunel Business School),Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-and-management-bsc
Business and Management Integrated PhD (Brunel Business School),PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/business-and-management-integrated-phd
Business Computing (eBusiness) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-computing-ebusiness-bsc
Business Computing (Human Computer Interaction) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-computing-human-computer-interaction-bsc
Business Computing (Social Media) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-computing-social-media-bsc
Business Computing BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-computing-bsc
Business Finance MSc,Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time ; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/business-finance-msc
Business Intelligence and Digital Marketing MSc (Brunel Business School),Postgraduate,1 year full-time; 15 months full-time,https://www.brunel.ac.uk/study/postgraduate/business-intelligence-and-digital-marketing-msc
Business Management with Entrepreneurship BSc (Brunel Business School),Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/business-management-with-entrepreneurship-bsc
Chemical Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/chemical-engineering-beng
Chemical Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/chemical-engineering-integrated-phd
Chemical Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/chemical-engineering-meng
Chemical Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/chemical-engineering-phd
"Children, Youth and International Development MA",Postgraduate,1 year full-time; 2 or 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/children-youth-and-international-development-ma
Civil Engineering (Environmental Engineering) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-beng
Civil Engineering (Environmental Engineering) MEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-meng
Civil Engineering (Flood and Coastal Engineering) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-beng
Civil Engineering (Flood and Coastal Engineering) MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-flood-and-coastal-engineering-meng
Civil Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-beng
Civil Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/civil-engineering-integrated-phd
Civil Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-meng
Civil Engineering MSc,Postgraduate,1 year full-time; 14 months full-time,https://www.brunel.ac.uk/study/postgraduate/civil-engineering-msc
Civil Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-civil-engineering
"Clinical Education PGCert, PGDip and MSc",Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/clinical-education-pgcert-pgdip-and-msc
Cognitive and Clinical Neuroscience MSc,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/cognitive-and-clinical-neuroscience-msc
Cognitive and Clinical Neuroscience PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/cognitive-neuroscience-phd
Comedy Studies PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/comedy-studies-phd
Computer Science (Artificial Intelligence) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-science-artificial-intelligence-bsc
Computer Science (Digital Media and Games) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-science-digital-media-and-games-bsc
Computer Science (Network Computing) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-science-network-computing-bsc
Computer Science (Software Engineering) BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-science-software-engineering-bsc
Computer Science BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-science-bsc
Computer Science Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/computer-science-integrated-phd
Computer Science PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-computer-science
Computer Systems Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-systems-engineering-beng
Computer Systems Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/computer-systems-engineering-meng
Computer Systems Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/computer-systems-engineering-phd
Contemporary Writing PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/contemporary-writing-phd
Corporate Brand Management MSc (Brunel Business School),Postgraduate,1 year full-time; 16 months full-time ; 2 years full-time,https://www.brunel.ac.uk/study/postgraduate/corporate-brand-management-msc
Creative Writing BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5-6 years part-time,https://www.brunel.ac.uk/study/undergraduate/creative-writing-ba
Creative Writing MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/creative-writing-ma
Creative Writing PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-creative-writing
Criminology BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/criminology-bsc
Criminology PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/criminology-phd
Culture and Evolution PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/culture-and-evolution-phd
Data Science and Analytics MSc,Postgraduate,1 year full-time; 2 years part-time; 1 year (staged study) part-time,https://www.brunel.ac.uk/study/postgraduate/data-science-and-analytics-msc
Design and Branding Strategy MA,Postgraduate,1 year full-time; 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/design-and-branding-strategy-ma
Design BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/design-bsc
Design Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/design-integrated-phd
Design MDes,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/design-mdes
Design PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-design
Design Strategy and Innovation MA,Postgraduate,1 year full-time; 2.5 years part-time,https://www.brunel.ac.uk/study/postgraduate/design-strategy-and-innovation-ma
Digital Design (3D Animation) MSc,Postgraduate,1 year full-time; 2 years part-time; 2 years full-time ; 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/digital-design-msc-3d-animation
Digital Design (Immersive Mixed Reality) MSc,Postgraduate,1 year full-time; 2 years part-time; 2 years full-time ; 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/digital-design-msc-immersive-mixed-reality
Digital Design (Motion Graphics) MSc,Postgraduate,1 year full-time; 2 years part-time; 2 years full-time ; 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/digital-design-msc-motion-graphics
Digital Design and Branding MSc,Postgraduate,1 year full-time; 2 years part-time; 2 years full-time ; 3 years part-time,https://www.brunel.ac.uk/study/postgraduate/digital-design-and-branding-msc
Digital Design BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/digital-design-bsc
Digital Games Theory and Design MA,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/digital-games-theory-and-design-ma
Digital Media PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-digital-media
Digital Service Design MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/digital-service-design-msc
Economics and Accounting BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/economics-and-accounting-bsc
Economics and Business Finance BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/economics-and-business-finance-bsc
Economics and Finance PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-economics-and-finance
Economics and Management BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/economics-and-management-bsc
Economics and Mathematics with an Integrated Foundation Year,Undergraduate; Foundation,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/economics-and-mathematics-with-an-integrated-foundation-year
Economics BSc,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/economics-bsc
Economics Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/economics-integrated-phd
Education BA,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/education-ba
Education EdD,PhD & Research,5 years part-time,https://www.brunel.ac.uk/study/postgraduate/education-edd
Education Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/education-integrated-phd
Education MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/education-ma
Education PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-education
Electric Vehicle Systems MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/electric-vehicle-systems-msc
Electronic and Communications Engineering BEng (China),Undergraduate,4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-communications-engineering-beng-china
Electronic and Communications Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-communications-engineering-meng
Electronic and Computer Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/electronic-and-computer-engineering-phd
Electronic and Electrical Engineering (Artificial Intelligence) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-artificial-intelligence-beng
Electronic and Electrical Engineering (Communication Systems) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-communication-systems-beng
Electronic and Electrical Engineering (Computer Systems) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-computer-systems-beng
Electronic and Electrical Engineering (Energy Systems) BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-energy-systems-beng
Electronic and Electrical Engineering BEng,Undergraduate,3 years full-time; 4 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-beng
Electronic and Electrical Engineering Integrated PhD,PhD & Research,4 years full-time,https://www.brunel.ac.uk/study/postgraduate/electronic-and-electrical-engineering-integrated-phd
Electronic and Electrical Engineering MEng,Undergraduate,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-meng
Electronic and Electrical Engineering PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-electrical-engineering-electronics
Electronic Engineering BEng (Top Up),Undergraduate,1 year full-time,https://www.brunel.ac.uk/study/undergraduate/electronic-engineering-beng-top-up
Energy Efficient and Sustainable Technologies PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/energy-efficient-and-sustainable-technologies
Engineering CPD,CPD,,https://www.brunel.ac.uk/study/postgraduate/engineering-cpd
Engineering Management MSc,Postgraduate,1 year full-time,https://www.brunel.ac.uk/study/postgraduate/engineering-management-msc
Engineering Management PGCert,Postgraduate; Pre-Masters,4 months full-time; 16 months part-time,https://www.brunel.ac.uk/study/postgraduate/engineering-management-pg-cert
Engineering with an Integrated Foundation Year,Foundation,4 years full-time; 5 years full-time,https://www.brunel.ac.uk/study/undergraduate/engineering-with-an-integrated-foundation-year
English BA,Undergraduate,3 years full-time; 4 years full-time ; 4.5-6 years part-time,https://www.brunel.ac.uk/study/undergraduate/english-ba
English Literature MA,Postgraduate,1 year full-time; 2 years part-time,https://www.brunel.ac.uk/study/postgraduate/english-literature-ma
English PhD,PhD & Research,3 years full-time; 6 years part-time,https://www.brunel.ac.uk/study/postgraduate/phd-english
